p,influenced,weight
http://dbpedia.org/resource/Louis_Lavelle,http://dbpedia.org/resource/Walter_J._Ong,1
http://dbpedia.org/resource/Louis_Lavelle,http://dbpedia.org/resource/Gabriel_Marcel,1
http://dbpedia.org/resource/Louis_Lavelle,http://dbpedia.org/resource/Antonin_Sertillanges,1
http://dbpedia.org/resource/Louis_Lavelle,http://dbpedia.org/resource/Jean_Guitton,1
http://dbpedia.org/resource/Louis_Lavelle,http://dbpedia.org/resource/Olavo_de_Carvalho,1
http://dbpedia.org/resource/Louis_Lavelle,http://dbpedia.org/resource/Renaud_Barbaras,1
http://dbpedia.org/resource/Louis_Lavelle,http://dbpedia.org/resource/Pierre_Hadot,1
http://dbpedia.org/resource/Martin_Knutzen,http://dbpedia.org/resource/Johann_Georg_Hamann,1
http://dbpedia.org/resource/Martin_Knutzen,http://dbpedia.org/resource/Immanuel_Kant,1
http://dbpedia.org/resource/Martin_Knutzen,http://dbpedia.org/resource/Benno_Erdmann,1
http://dbpedia.org/resource/Peter_Kropotkin,http://dbpedia.org/resource/Franz_Kafka,1
http://dbpedia.org/resource/Peter_Kropotkin,http://dbpedia.org/resource/Rudolf_Rocker,1
http://dbpedia.org/resource/Peter_Kropotkin,http://dbpedia.org/resource/Slavoj_Žižek,1
http://dbpedia.org/resource/Peter_Kropotkin,http://dbpedia.org/resource/Daniel_Guérin,1
http://dbpedia.org/resource/Peter_Kropotkin,http://dbpedia.org/resource/Bob_Black,1
http://dbpedia.org/resource/Peter_Kropotkin,http://dbpedia.org/resource/Errico_Malatesta,1
http://dbpedia.org/resource/Peter_Kropotkin,http://dbpedia.org/resource/Nestor_Makhno,1
http://dbpedia.org/resource/Peter_Kropotkin,http://dbpedia.org/resource/Emma_Goldman,1
http://dbpedia.org/resource/Peter_Kropotkin,http://dbpedia.org/resource/Stephen_Jay_Gould,1
http://dbpedia.org/resource/Peter_Kropotkin,http://dbpedia.org/resource/Oscar_Wilde,1
http://dbpedia.org/resource/Peter_Kropotkin,http://dbpedia.org/resource/Kōtoku_Shūsui,1
http://dbpedia.org/resource/Peter_Kropotkin,http://dbpedia.org/resource/Alexander_Berkman,1
http://dbpedia.org/resource/Peter_Kropotkin,http://dbpedia.org/resource/Leo_Tolstoy,1
http://dbpedia.org/resource/Peter_Kropotkin,http://dbpedia.org/resource/Murray_Bookchin,1
http://dbpedia.org/resource/Peter_Kropotkin,http://dbpedia.org/resource/Colin_Ward,1
http://dbpedia.org/resource/Peter_Kropotkin,http://dbpedia.org/resource/Noam_Chomsky,1
http://dbpedia.org/resource/Peter_Kropotkin,http://dbpedia.org/resource/George_Woodcock,1
http://dbpedia.org/resource/Peter_Lamborn_Wilson,http://dbpedia.org/resource/Michael_Muhammad_Knight,1
http://dbpedia.org/resource/Philip_Kitcher,http://dbpedia.org/resource/Patricia_Kitcher,1
http://dbpedia.org/resource/Philip_Kitcher,http://dbpedia.org/resource/C._Kenneth_Waters,1
http://dbpedia.org/resource/Philip_Kitcher,http://dbpedia.org/resource/Michael_Weisberg,1
http://dbpedia.org/resource/Philip_Kitcher,http://dbpedia.org/resource/Kyle_Stanford,1
http://dbpedia.org/resource/Philip_Kitcher,http://dbpedia.org/resource/Peter_Godfrey-Smith,1
http://dbpedia.org/resource/Sandra_Laugier,http://dbpedia.org/resource/Tristan_Garcia,1
http://dbpedia.org/resource/Saul_Kripke,http://dbpedia.org/resource/John_P._Burgess,1
http://dbpedia.org/resource/Susanne_Langer,http://dbpedia.org/resource/Bernard_Lonergan,1
http://dbpedia.org/resource/Susanne_Langer,http://dbpedia.org/resource/Howard_Gardner,1
http://dbpedia.org/resource/Susanne_Langer,http://dbpedia.org/resource/Clifford_Geertz,1
http://dbpedia.org/resource/Susanne_Langer,http://dbpedia.org/resource/Neo-Concrete_Movement,1
http://dbpedia.org/resource/Thomas_Kuhn,http://dbpedia.org/resource/Philip_Kitcher,1
http://dbpedia.org/resource/Thomas_Kuhn,http://dbpedia.org/resource/Martin_Cohen_(philosopher),1
http://dbpedia.org/resource/Thomas_Kuhn,http://dbpedia.org/resource/Paul_Feyerabend,1
http://dbpedia.org/resource/Thomas_Kuhn,http://dbpedia.org/resource/Imre_Lakatos,1
http://dbpedia.org/resource/Wolfgang_Köhler,http://dbpedia.org/resource/Karl_Popper,1
http://dbpedia.org/resource/Franz_Rosenzweig,http://dbpedia.org/resource/Emmanuel_Levinas,1
http://dbpedia.org/resource/Franz_Rosenzweig,http://dbpedia.org/resource/Eric_Santner,1
http://dbpedia.org/resource/Franz_Rosenzweig,http://dbpedia.org/resource/Emil_Fackenheim,1
http://dbpedia.org/resource/Franz_Rosenzweig,http://dbpedia.org/resource/Walter_Benjamin,1
http://dbpedia.org/resource/Franz_Rosenzweig,http://dbpedia.org/resource/Martin_Buber,1
http://dbpedia.org/resource/Franz_Rosenzweig,http://dbpedia.org/resource/Jacques_Derrida,1
http://dbpedia.org/resource/Franz_Rosenzweig,http://dbpedia.org/resource/Nahum_Norbert_Glatzer,1
