Philosopher A,Philosopher B,Weight
Roderick_Chisholm,Dean_Zimmerman,1
Thomas_Reid,Keith_Lehrer,1
Thomas_Reid,Roderick_Chisholm,1
Thomas_Reid,G._E._Moore,1
Thomas_Reid,Arthur_Schopenhauer,1
Thomas_Reid,William_James,1
Thomas_Reid,David_Hartley_(philosopher),1
Thomas_Reid,George_Elder_Davie,1
Thomas_Reid,Keith_DeRose,1
Thomas_Reid,Charles_Hodge,1
Thomas_Reid,Dugald_Stewart,1
Thomas_Reid,Michael_Huemer,1
Thomas_Reid,James_Beattie_(poet),1
Thomas_Reid,Alvin_Plantinga,1
Thomas_Reid,William_L._Rowe,1
Thomas_Reid,Charles_Sanders_Peirce,1
Thomas_Reid,Victor_Cousin,1
Thomas_Reid,Nicholas_Wolterstorff,1
Thomas_Reid,William_Alston,1
Thomas_Reid,Michael_Bergmann_(philosopher),1
Thomas_Reid,James_Frederick_Ferrier,1
Francisco_Sanches,Pierre_Bayle,1
Francisco_Sanches,Modern_philosophy,1
Friedrich_Carl_von_Savigny,August_von_Bethmann-Hollweg,1
George_Santayana,John_Lachs,1
George_Santayana,Wallace_Stevens,1
George_Santayana,Glenn_Gould,1
Gilbert_Ryle,Richard_Webster_(British_author),1
Gilbert_Ryle,Wilfrid_Sellars,1
Gilbert_Ryle,G._A._Cohen,1
Gilbert_Ryle,J._J._C._Smart,1
Gilbert_Ryle,J._L._Austin,1
Gilbert_Ryle,P._F._Strawson,1
Gilbert_Ryle,R._M._Hare,1
Gilbert_Ryle,A._J._Ayer,1
Gilbert_Ryle,Daniel_Dennett,1
Gilbert_Ryle,John_Searle,1
Gilbert_Ryle,Michael_Dummett,1
Gilbert_Ryle,Þorsteinn_Gylfason,1
Gilbert_Ryle,Clifford_Geertz,1
Gilbert_Ryle,Ullin_Place,1
Han_Ryner,Maria_Lacerda_de_Moura,1
Han_Ryner,Iniciales,1
Han_Ryner,La_Revista_Blanca,1
Han_Ryner,Michel_Onfray,1
Josiah_Royce,William_Ernest_Hocking,1
Josiah_Royce,Brand_Blanshard,1
Josiah_Royce,C._I._Lewis,1
Josiah_Royce,Gabriel_Marcel,1
Josiah_Royce,Norbert_Wiener,1
Josiah_Royce,John_Elof_Boodin,1
Josiah_Royce,Edward_Vermilye_Huntington,1
Josiah_Royce,Henry_M._Sheffer,1
Josiah_Royce,Timothy_Sprigge,1
Josiah_Royce,George_Herbert_Mead,1
Josiah_Royce,Morris_Raphael_Cohen,1
Josiah_Royce,John_William_Miller,1
Max_Scheler,Pope_John_Paul_II,1
Max_Scheler,Martin_Buber,1
Max_Scheler,Dietrich_von_Hildebrand,1
Max_Scheler,Viktor_Frankl,1
Max_Scheler,Nicolai_Hartmann,1
Max_Scheler,Edith_Stein,1
Max_Scheler,José_Ortega_y_Gasset,1
Max_Scheler,Martin_Heidegger,1
Rudolf_Steiner,Joseph_Beuys,1
Rudolf_Steiner,Wassily_Kandinsky,1
Rudolf_Steiner,Édouard_Schuré,1
Rudolf_Steiner,Owen_Barfield,1
Rudolf_Steiner,Hugo_Bergmann,1
Rudolf_Steiner,Saul_Bellow,1
Rudolf_Steiner,Martin_Buber,1
Rudolf_Steiner,Albert_Schweitzer,1
Rudolf_Steiner,Andrei_Bely,1
Rudolf_Steiner,Andrei_Tarkovsky,1
Rudolf_Steiner,Hilma_af_Klint,1
Rudolf_Steiner,Max_Heindel,1
Rudolf_Steiner,Valentin_Tomberg,1
Rudolf_Steiner,Daniel_Nicol_Dunlop,1
Rudolf_Steiner,Richard_Tarnas,1
Samuel_Alexander,Alfred_North_Whitehead,1
Samuel_Alexander,John_Anderson_(philosopher),1
Seneca_the_Younger,Augustine_of_Hippo,1
Seneca_the_Younger,Marcus_Aurelius,1
Seneca_the_Younger,Tertullian,1
Seneca_the_Younger,Michel_de_Montaigne,1
Seneca_the_Younger,Albertino_Mussato,1
Seneca_the_Younger,Dante_Alighieri,1
Seneca_the_Younger,Medieval_philosophy,1
Seneca_the_Younger,"Giovanni_Colonna_(cardinal,_1295–1348)",1
Seneca_the_Younger,Martin_of_Braga,1
Søren_Kierkegaard,Walter_Kaufmann_(philosopher),1
Søren_Kierkegaard,Emmanuel_Levinas,1
Søren_Kierkegaard,Rollo_May,1
Søren_Kierkegaard,Ingmar_Bergman,1
Søren_Kierkegaard,Walker_Percy,1
Søren_Kierkegaard,H._Richard_Niebuhr,1
Søren_Kierkegaard,John_D._Caputo,1
Søren_Kierkegaard,Martin_Buber,1
Søren_Kierkegaard,Miguel_de_Unamuno,1
Søren_Kierkegaard,Gabriel_Marcel,1
Søren_Kierkegaard,Jean_Wahl,1
Søren_Kierkegaard,Albert_Camus,1
Søren_Kierkegaard,Jacques_Ellul,1
Søren_Kierkegaard,Sigmund_Freud,1
Søren_Kierkegaard,Henrik_Ibsen,1
Søren_Kierkegaard,Jean-Paul_Sartre,1
Søren_Kierkegaard,Karl_Jaspers,1
Søren_Kierkegaard,Cornel_West,1
Søren_Kierkegaard,Martin_Heidegger,1
Søren_Kierkegaard,Paul_Tillich,1
Søren_Kierkegaard,Thomas_Merton,1
Søren_Kierkegaard,Lev_Shestov,1
Søren_Kierkegaard,Ludwig_Wittgenstein,1
Søren_Kierkegaard,Karl_Barth,1
Søren_Kierkegaard,Theodor_W._Adorno,1
Søren_Kierkegaard,Carl_Schmitt,1
T._M._Scanlon,Thomas_Nagel,1
T._M._Scanlon,Derek_Parfit,1
T._M._Scanlon,Pamela_Hieronymi,1
T._M._Scanlon,Christine_Korsgaard,1
Wilfrid_Sellars,John_McDowell,1
Wilfrid_Sellars,Richard_Rorty,1
Wilfrid_Sellars,Annette_Baier,1
Wilfrid_Sellars,Daniel_Dennett,1
Wilfrid_Sellars,Ruth_Millikan,1
Wilfrid_Sellars,Bas_van_Fraassen,1
Wilfrid_Sellars,Paul_Churchland,1
Wilfrid_Sellars,Robert_Brandom,1
Wilfrid_Sellars,Ray_Brassier,1
Wilfrid_Sellars,Jay_Rosenberg,1
Emer_de_Vattel,Alexander_Hamilton,1
Emer_de_Vattel,Benjamin_Franklin,1
Emer_de_Vattel,George_Washington,1
Emer_de_Vattel,Western_philosophy,1
Emil_Cioran,Eugene_Thacker,1
Emil_Cioran,Nick_Land,1
Emil_Cioran,Fernando_Savater,1
Emil_Cioran,Jean_Baudrillard,1
Emil_Cioran,Thomas_Ligotti,1
Emil_Fackenheim,James_Doull,1
Emil_Fackenheim,Douglas_John_Hall,1
Epictetus,Junius_Rusticus,1
Epictetus,Han_Ryner,1
Epictetus,Arrian,1
Epictetus,Marcus_Aurelius,1
Epictetus,James_Stockdale,1
Epictetus,Albert_Ellis,1
Epicurus,Karl_Marx,1
Epicurus,Seneca_the_Younger,1
Epicurus,Hermarchus,1
Epicurus,Baruch_Spinoza,1
Epicurus,Thomas_Jefferson,1
Epicurus,Philodemus,1
Epicurus,David_Hume,1
Epicurus,Metrodorus_of_Lampsacus_(the_younger),1
Epicurus,Pierre_Gassendi,1
Epicurus,John_Stuart_Mill,1
Epicurus,Jeremy_Bentham,1
Epicurus,Lucretius,1
Eric_Voegelin,Roger_Scruton,1
Eric_Voegelin,James_V._Schall,1
Eric_Voegelin,Bruno_Latour,1
Eric_Voegelin,Walker_Percy,1
Eric_Voegelin,Martin_Palouš,1
Eric_Voegelin,Frederick_G._Lawrence,1
Eric_Voegelin,William_F._Buckley_Jr.,1
Eric_Voegelin,Raymond_Aron,1
Eric_Voegelin,Russell_Kirk,1
Eric_Voegelin,William_Havard,1
Eric_Voegelin,Ellis_Sandoz,1
Eric_Voegelin,Flannery_O'Connor,1
Eric_Voegelin,Robert_B._Heilman,1
Eric_Voegelin,Olavo_de_Carvalho,1
Eric_Voegelin,Leo_Strauss,1
Eric_Voegelin,Rudolf_Bultmann,1
Eric_Voegelin,Robert_P._George,1
Erich_Przywara,Karl_Rahner,1
Erich_Przywara,Pope_Benedict_XVI,1
Erich_Przywara,Josef_Pieper,1
Erich_Przywara,Edith_Stein,1
Erich_Przywara,Hans_Urs_von_Balthasar,1
Erich_Przywara,Karl_Barth,1
Ernest_Sosa,Brie_Gertler,1
Ernest_Sosa,John_Greco_(philosopher),1
Ernesto_Laclau,Slavoj_Žižek,1
Ernst_Troeltsch,H._Richard_Niebuhr,1
Ernst_Troeltsch,James_Luther_Adams,1
Eugénio_Tavares,João_de_Deus,1
Eugénio_Tavares,Luís_de_Camões,1
Francisco_Antonio_Encina,Gonzalo_Vial,1
Francisco_Suárez,Gottfried_Wilhelm_Leibniz,1
Francisco_Suárez,René_Descartes,1
Francisco_Suárez,Matthew_Hale_(jurist),1
Francisco_Suárez,Hugo_Grotius,1
Francisco_Suárez,Martin_Heidegger,1
Francisco_Suárez,Christian_Wolff_(philosopher),1
Francisco_Suárez,Gustavo_Bueno,1
Francisco_Suárez,Xavier_Zubiri,1
Francisco_Suárez,Mário_Ferreira_dos_Santos,1
Francisco_Suárez,Plínio_Salgado,1
François_Laruelle,Nick_Srnicek,1
François_Laruelle,Gilles_Grelet,1
François_Laruelle,Ray_Brassier,1
François_Laruelle,Katerina_Kolozova,1
Fred_Evans_(philosopher),George_Yancy,1
Fred_Feldman_(philosopher),Robert_S._Welch,1
Fredric_Jameson,Slavoj_Žižek,1
Fredric_Jameson,Alexander_R._Galloway,1
Friedrich_Albert_Lange,Friedrich_Nietzsche,1
Friedrich_Albert_Lange,Eduard_Bernstein,1
Friedrich_Albert_Lange,Hermann_Cohen,1
Friedrich_Schleiermacher,Manfred_Frank,1
Friedrich_Schleiermacher,Walter_Rauschenbusch,1
Friedrich_Schleiermacher,Antoine_Berman,1
Friedrich_Schleiermacher,Heinrich_Ritter,1
Friedrich_Schleiermacher,Wilhelm_Dilthey,1
Friedrich_Schleiermacher,Friedrich_Ueberweg,1
